사업부(조정),부서명,대분류,중분류,Cost Elem desc,합계 : 202501,합계 : 202502,합계 : 202503,합계 : 202504,합계 : 202505,합계 : 202506,합계 : 202507,합계 : 202508,합계 : 202509, 합계 : 202510 
공통,Business Development,기타,시내교통비,여비교통비_시내교통비,"2,094.41",447.12,122.92,392.64,0,104.89,279.9,50.39,430.09,135.19
공통,Business Development,기타,접대비,접대비,0,0,0,"1,556.60",301,0,464,0,290,342
공통,Business Development,복리후생비,기타 복리후생비,복리후생비_복리,"2,199.00",0,0,0,0,"4,000.00",0,0,0,0
공통,Business Development,임차료,관리비,지급임차료_관리비,0,0,0,0,0,"10,736.63","-10,736.63",0,0,0
공통,Business Operation,감가상각비,비품,감가상각비_기계장치,0,0,0,0,158.19,158.18,158.19,869.68,679.99,971.31
공통,Business Operation,기타,사무용품비,소모품비_사무용품,0,0,70.79,0,0,0,0,0,0,0
공통,Business Operation,기타,시내교통비,여비교통비_시내교통비,199.83,-152.62,163.24,118.53,249.92,504.93,112.61,212.12,660.71,293.22
공통,Business Operation,복리후생비,공적금,복리후생비_공적금,0,0,0,"3,480.00","3,480.00","3,480.00","3,480.00","3,480.00","3,480.00","3,480.00"
공통,Business Operation,복리후생비,사회보험,복리후생비_사회보험,0,0,0,"7,453.00","7,453.00","7,453.00","7,453.00","7,453.00","7,453.00","7,453.00"
공통,Business Operation,복리후생비,식대,복리후생비_식대,0,690.8,0,0,0,0,0,0,0,0
공통,Business Operation,복리후생비,주재원,복리후생비_외국인직원복리,"46,283.74","51,083.16","55,747.13","52,890.19","52,940.25","42,367.76","73,099.85","34,331.77","49,852.60","57,529.42"
공통,Business Operation,인건비,"급여,성과급",인건비,0,0,"451,479.35","138,850.08","138,850.08","139,456.89","134,213.47","134,213.47","160,566.80","157,608.80"
공통,Business Operation,지급수수료,지급수수료(중),지급수수료_지급용역료,0,"97,735.85",0,"86,594.34",0,"118,301.89","77,596.20","120,048.10","-60,491.52","15,897.15"
공통,Business Operation,출장비,국내출장비,여비교통비_국내출장비,296.2,0,0,"4,866.50","2,311.71",238.52,"18,478.91","-13,000.00","3,532.64","4,616.71"
공통,Business Operation,출장비,해외출장비,여비교통비_해외출장비,"3,262.85",0,"6,050.91",0,0,"5,497.57","10,529.70","3,267.00","25,339.86",0
공통,Business Plan,감가상각비,비품,감가상각비_기계장치,258.11,258.11,258.12,258.11,258.11,258.11,0,431.16,431.18,431.16
공통,Business Plan,기타,시내교통비,여비교통비_시내교통비,236.03,-1.83,60.83,0,0,36.8,0,106.23,128.61,64.39
공통,Business Plan,복리후생비,공적금,복리후생비_공적금,"3,300.00","3,300.00","3,300.00","3,300.00","3,300.00","3,300.00","3,300.00","3,422.00","3,361.00","3,361.00"
공통,Business Plan,복리후생비,사회보험,복리후생비_사회보험,"7,067.50","7,067.50","7,067.50","7,067.50","7,067.50","7,067.50","7,067.50","7,332.82","7,200.16","7,200.16"
공통,Business Plan,인건비,"급여,성과급",인건비,"64,166.67","36,666.67","-76,412.93","40,058.33","40,058.33","40,585.42","40,058.33","40,173.52","39,943.14","40,058.33"
공통,Business Plan,지급수수료,지급수수료(중),지급수수료_지급용역료,0,0,0,184,0,185,0,0,739.97,0
공통,Client Service,기타,물류비,지급수수료_퀵서비스,741.89,0,0,0,0,0,0,0,0,0
공통,Client Service,기타,시내교통비,여비교통비_시내교통비,94.11,0,0,0,0,0,0,0,0,0
공통,Internal Audit,감가상각비,비품,감가상각비_기계장치,0,0,0,0,0,0,0,273.53,273.52,273.53
공통,Internal Audit,복리후생비,공적금,복리후생비_공적금,0,0,0,0,0,0,"4,080.00","8,627.00","8,719.00","8,673.00"
공통,Internal Audit,복리후생비,사회보험,복리후생비_사회보험,0,0,0,0,0,0,"8,738.00","18,728.88","18,673.62","18,575.70"
공통,Internal Audit,인건비,"급여,성과급",인건비,0,0,0,0,0,0,"65,234.38","94,783.86","94,344.68","94,564.27"
공통,IT,감가상각비,비품,감가상각비_공기구비품,36.87,36.88,36.87,36.87,36.88,36.87,36.87,36.87,36.88,36.87
공통,IT,감가상각비,비품,감가상각비_기계장치,"46,840.90","46,841.23","47,433.29","47,564.67","47,565.03","57,025.74","54,883.45","18,024.25","17,871.56","26,403.43"
공통,IT,감가상각비,소프트웨어,감가상각비_소프트웨어,"111,528.97","111,737.32","116,490.32","116,490.28","116,490.32","116,490.31","116,490.30","116,490.33","116,490.28","116,490.31"
공통,IT,감가상각비,소프트웨어,감가상각비_홈페이지등,"1,185.68","1,185.69","1,185.68","1,185.68","1,185.69","1,185.68","1,185.69","1,185.68","1,185.68","1,185.69"
공통,IT,기타,물류비,지급수수료_퀵서비스,154.72,45.28,113.38,465.65,400.11,139.66,71.08,312.96,71.92,57.25
공통,IT,기타,사무용품비,소모품비_사무용품,"8,189.20","3,018.87","3,628.58",175.22,"22,105.65","6,072.49","1,439.82",0,0,"4,244.07"
공통,IT,기타,시내교통비,여비교통비_시내교통비,"1,718.53",-643.26,153.71,141.32,"1,434.28","2,108.95",468.27,325,691.22,810.68
공통,IT,기타,접대비,접대비,243,"1,638.46",0,0,0,0,"1,070.20",0,255,0
공통,IT,복리후생비,공적금,복리후생비_공적금,"23,415.00","23,415.00","23,415.00","23,415.00","23,415.00","23,415.00","23,415.00","32,385.00","28,176.00","27,992.00"
공통,IT,복리후생비,기타 복리후생비,복리후생비_복리,0,160,224,"2,287.00",182,0,0,647,532.9,0
공통,IT,복리후생비,사회보험,복리후생비_사회보험,"50,150.38","50,150.38","50,150.38","50,150.38","50,150.38","50,150.38","50,150.38","69,353.60","60,339.49","59,947.81"
공통,IT,복리후생비,식대,복리후생비_식대,0,280,40,40,160,760,0,"1,187.48",280,0
공통,IT,인건비,"급여,성과급",인건비,"596,178.20","340,497.33","-34,153.24","252,254.13","252,254.13","255,573.27","252,254.13","260,661.99","243,846.27","252,254.13"
공통,IT,지급수수료,IT비용,지급수수료_소프트웨어사용료,0,0,0,0,0,0,0,"9,582.30",0,0
공통,IT,지급수수료,IT비용,지급수수료_지급용역료,"431,748.33","526,742.85","954,341.48","810,011.91","1,170,698.69","-4,325.44","812,049.06","610,206.76","561,569.67","724,283.10"
공통,IT,출장비,국내출장비,여비교통비_국내출장비,0,0,0,0,0,0,0,0,"1,649.03",0
공통,MD,기타,물류비,지급수수료_퀵서비스,551.51,680.25,872.64,"1,377.33","1,143.49",868.45,771.77,"1,207.48","1,033.54","1,184.30"
공통,MD,기타,사무용품비,소모품비_사무용품,0,0,"1,100.00",0,0,421.9,"1,949.20",256.46,"41,046.91",0
공통,MD,기타,사무용품비,소모품비_포장소모품,"2,294.00",0,0,0,0,0,0,0,0,0
공통,MD,기타,시내교통비,여비교통비_시내교통비,"7,690.82","2,396.64","3,284.25","1,541.98","1,739.15","3,812.57","2,599.63","6,261.16","3,575.24","2,489.68"
공통,MD,기타,접대비,접대비,"4,000.00",0,0,0,0,0,0,724,"3,531.00","1,450.00"
공통,MD,복리후생비,기타 복리후생비,복리후생비_복리,0,0,"1,396.00",760,"6,287.00",337,"3,911.50",0,"4,644.00",998
공통,MD,복리후생비,식대,복리후생비_식대,"1,312.60","1,160.00","2,678.50","1,551.92",359.81,760,815.5,870.19,"2,097.55",271.4
공통,MD,복리후생비,주재원,복리후생비_외국인직원복리,"34,061.86","34,061.87","34,809.17","54,802.54","73,611.67","74,046.29","131,927.63","78,896.96","74,389.51","65,029.07"
공통,MD,지급수수료,지급수수료(중),지급수수료_지급용역료,"1,976.64","1,976.64","1,976.64","1,976.64","1,976.64","1,976.64","1,976.64","1,976.64","1,976.64","1,976.64"
공통,MGT,감가상각비,비품,감가상각비_공기구비품,"1,022.20","1,022.21","1,022.18","1,022.21","1,022.20","1,022.20","1,022.18","1,022.20","1,022.21","1,022.20"
